assembly,temperature_K,volume_fraction,escape_length_nm,p_free,p_bound,kBT_J,p_face,p_tip,U_total_per_NC_J,U_total_per_NC_kBT
dimer,392.0,0.0001,0.5,0.999554194080223,0.0004458059197771505,5.4121440800000005e-21,0.00042786070062480927,1.7945219152341228e-05,-6.2576366495394944e-24,-0.0011562213712424843
dimer,394.0,0.0001,0.5,0.999565763770635,0.0004342362293650336,5.4397570600000005e-21,0.0004163641095302477,1.787211983478593e-05,-6.0841383752518804e-24,-0.0011184577377527003
dimer,396.0,0.0001,0.5,0.9995769008417945,0.00042309915820539895,5.4673700400000005e-21,0.0004052987805031264,1.7800377702272554e-05,-5.917221463593076e-24,-0.0010822793080223036
dimer,398.0,0.0001,0.5,0.9995876252010221,0.0004123747989779707,5.4949830200000005e-21,0.0003946448407050144,1.772995827295638e-05,-5.7565805052353854e-24,-0.0010476066048399517
dimer,400.0,0.0001,0.5,0.9995979556841854,0.0004020443158146936,5.5225960000000006e-21,0.00038438348764376296,1.7660828170930692e-05,-5.601926617491032e-24,-0.0010143647330876696
dimer,402.0,0.0001,0.5,0.9996079101211637,0.0003920898788363085,5.5502089800000006e-21,0.00037449692375259263,1.759295508371586e-05,-5.452986430826707e-24,-0.0009824830831553133
dimer,404.0,0.0001,0.5,0.9996175053968607,0.00038249460313940863,5.5778219600000006e-21,0.00036496829541777343,1.7526307721635202e-05,-5.309501144463289e-24,-0.0009518950555501933
dimer,406.0,0.0001,0.5,0.9996267575080977,0.0003732424919021407,5.605434940000001e-21,0.00035578163612315686,1.7460855778983832e-05,-5.171225645899307e-24,-0.0009225378050502013
dimer,408.0,0.0001,0.5,0.9996356816166964,0.00036431838330356497,5.633047920000001e-21,0.0003469218134066631,1.739656989690194e-05,-5.037927689614995e-24,-0.0008943520028878068
dimer,410.0,0.0001,0.5,0.9996442920990237,0.00035570790097616794,5.660660900000001e-21,0.0003383744793483,1.733342162786795e-05,-4.909387130595139e-24,-0.000867281615578693
