assembly,temperature_K,state_index,contact,spin1_index,spin2_index,energy_per_NC_J,p_equilibrium,p_window_mean
dimer,200.0,155,tip,3,3,1.8361500298343545e-21,4.5625648095621954e-07,4.5626414820941915e-07
dimer,200.0,156,tip,3,4,-2.081470448585927e-21,7.789843676443036e-06,7.789976152891764e-06
dimer,200.0,157,tip,3,5,-2.0814704485859266e-21,7.789843676443036e-06,7.789979042968778e-06
dimer,200.0,158,tip,3,6,-2.0814704485859266e-21,7.789843676443036e-06,7.789979042968803e-06
dimer,200.0,159,tip,3,7,-2.0814704485859262e-21,7.789843676443023e-06,7.789982520335522e-06
dimer,200.0,160,tip,4,0,-2.0814704485859262e-21,7.789843676443023e-06,7.789982520335557e-06
dimer,200.0,161,tip,4,1,-2.0814704485859266e-21,7.789843676443036e-06,7.789979042968964e-06
dimer,200.0,162,tip,4,2,-2.0814704485859266e-21,7.789843676443036e-06,7.78997904296898e-06
dimer,200.0,163,tip,4,3,-2.081470448585927e-21,7.789843676443036e-06,7.789976152892157e-06
dimer,200.0,164,tip,4,4,1.8361500298343545e-21,4.5625648095621954e-07,4.562641482095287e-07
dimer,200.0,165,tip,4,5,1.836150029834354e-21,4.5625648095621954e-07,4.5626349396844093e-07
dimer,200.0,166,tip,4,6,1.836150029834354e-21,4.5625648095621954e-07,4.5626349396844194e-07
dimer,200.0,167,tip,4,7,1.8361500298343537e-21,4.5625648095621954e-07,4.562630078014531e-07
dimer,200.0,168,tip,5,0,1.8361500298343537e-21,4.5625648095621954e-07,4.562644147329915e-07
dimer,200.0,169,tip,5,1,1.836150029834354e-21,4.5625648095621954e-07,4.5626462174746795e-07
dimer,200.0,170,tip,5,2,-2.081470448585927e-21,7.789843676443036e-06,7.78997617578268e-06
dimer,200.0,171,tip,5,3,-2.0814704485859266e-21,7.789843676443036e-06,7.789979042969095e-06
dimer,200.0,172,tip,5,4,1.836150029834354e-21,4.5625648095621954e-07,4.5626349396842834e-07
dimer,200.0,173,tip,5,5,1.8361500298343545e-21,4.5625648095621954e-07,4.5626414686396306e-07
dimer,200.0,174,tip,5,6,-2.0814704485859266e-21,7.789843676443036e-06,7.789955247550387e-06
dimer,200.0,175,tip,5,7,-2.0814704485859262e-21,7.789843676443023e-06,7.789963436925312e-06
dimer,200.0,176,tip,6,0,1.8361500298343537e-21,4.5625648095621954e-07,4.562644147329989e-07
dimer,200.0,177,tip,6,1,-2.081470448585927e-21,7.789843676443036e-06,7.78997617578277e-06
dimer,200.0,178,tip,6,2,1.836150029834354e-21,4.5625648095621954e-07,4.562646217474747e-07
dimer,200.0,179,tip,6,3,-2.0814704485859266e-21,7.789843676443036e-06,7.789979042969181e-06
dimer,200.0,180,tip,6,4,1.836150029834354e-21,4.5625648095621954e-07,4.562634939684334e-07
dimer,200.0,181,tip,6,5,-2.0814704485859266e-21,7.789843676443036e-06,7.789955247550438e-06
